alignment,combat,durability,gender,height,id,image,intelligence,name,power,publisher,race,speed,strength,weight
good,80,100,Male,226 cm,185,https://www.superherodb.com/pictures2/portraits/10/100/48.jpg,63,Colossus,45,Marvel Comics,Mutant,33,83,225 kg
good,null,null,Male,191 cm,187,https://www.superherodb.com/pictures2/portraits/10/100/49.jpg,null,Corsair,null,Marvel Comics,null,null,16,79 kg
neutral,60,25,Female,183 cm,186,https://www.superherodb.com/pictures2/portraits/10/100/10423.jpg,56,Copycat,54,Marvel Comics,Mutant,21,10,67 kg
bad,25,10,Male,183 cm,188,https://www.superherodb.com/pictures2/portraits/10/100/10452.jpg,50,Cottonmouth,27,Marvel Comics,Human,8,10,99 kg
good,null,null,Male,0 cm,189,https://www.superherodb.com/pictures2/portraits/10/100/303.jpg,null,Crimson Crusader,null,Marvel Comics,null,null,58,0 kg
good,56,14,Female,168 cm,191,https://www.superherodb.com/pictures2/portraits/10/100/305.jpg,63,Crystal,61,Marvel Comics,Inhuman,12,16,50 kg
bad,null,null,Male,0 cm,193,https://www.superherodb.com/pictures2/portraits/10/100/1075.jpg,null,Cy-Gor,null,Image Comics,null,null,96,0 kg
good,64,85,Male,198 cm,194,https://www.superherodb.com/pictures2/portraits/10/100/1204.jpg,75,Cyborg,71,DC Comics,Cyborg,42,53,173 kg
good,null,null,Male,180 cm,190,https://www.superherodb.com/pictures2/portraits/10/100/1093.jpg,null,Crimson Dynamo,null,Marvel Comics,null,null,65,104 kg
bad,null,null,Male,0 cm,192,https://www.superherodb.com/pictures2/portraits/10/100/1066.jpg,null,Curse,null,Image Comics,null,null,null,0 kg
bad,80,100,Male,0 cm,195,https://www.superherodb.com/pictures2/portraits/10/100/667.jpg,75,Cyborg Superman,100,DC Comics,Cyborg,92,93,0 kg
good,80,42,Male,191 cm,196,https://www.superherodb.com/pictures2/portraits/10/100/50.jpg,75,Cyclops,76,Marvel Comics,Mutant,23,10,88 kg
good,null,null,-,175 cm,197,https://www.superherodb.com/pictures2/portraits/10/100/168.jpg,null,Cypher,null,Marvel Comics,null,null,44,68 kg
good,null,null,Male,0 cm,199,https://www.superherodb.com/pictures2/portraits/10/100/1152.jpg,null,Danny Cooper,null,HarperCollins,null,null,null,0 kg
good,64,70,Male,185 cm,202,https://www.superherodb.com/pictures2/portraits/10/100/53.jpg,50,Darkhawk,74,Marvel Comics,Human,33,32,81 kg
good,100,35,Male,183 cm,201,https://www.superherodb.com/pictures2/portraits/10/100/52.jpg,75,Daredevil,61,Marvel Comics,Human,25,13,90 kg
good,10,10,Female,0 cm,200,https://www.superherodb.com/pictures2/portraits/10/100/1356.jpg,38,Daphne Powell,56,ABC Studios,null,8,10,0 kg
good,28,85,Male,0 cm,203,https://www.superherodb.com/pictures2/portraits/10/100/1126.jpg,75,Darkman,12,Universal Studios,null,23,14,0 kg
bad,95,100,Male,267 cm,204,https://www.superherodb.com/pictures2/portraits/10/100/668.jpg,88,Darkseid,100,DC Comics,New God,83,100,817 kg
bad,null,null,-,0 cm,205,https://www.superherodb.com/pictures2/portraits/10/100/840.jpg,null,Darkside,null,null,null,null,null,0 kg
good,64,42,Female,168 cm,206,https://www.superherodb.com/pictures2/portraits/10/100/169.jpg,38,Darkstar,79,Marvel Comics,Mutant,35,8,56 kg
bad,100,35,Male,198 cm,208,https://www.superherodb.com/pictures2/portraits/10/100/10444.jpg,69,Darth Vader,100,George Lucas,Cyborg,33,48,135 kg
bad,100,30,Male,170 cm,207,https://www.superherodb.com/pictures2/portraits/10/100/10464.jpg,56,Darth Maul,100,George Lucas,Dathomirian Zabrak,50,48,0 kg
good,30,60,Male,122 cm,209,https://www.superherodb.com/pictures2/portraits/10/100/824.jpg,25,Dash,20,Dark Horse Comics,Human,92,12,27 kg
good,50,40,Male,0 cm,210,https://www.superherodb.com/pictures2/portraits/10/100/10577.jpg,100,Data,56,Star Trek,Android,21,32,0 kg
good,55,60,Female,173 cm,211,https://www.superherodb.com/pictures2/portraits/10/100/1043.jpg,63,Dazzler,100,Marvel Comics,Mutant,33,10,52 kg
good,42,100,Male,183 cm,212,https://www.superherodb.com/pictures2/portraits/10/100/1472.jpg,50,Deadman,100,DC Comics,Human,33,10,90 kg
neutral,100,100,Male,188 cm,213,https://www.superherodb.com/pictures2/portraits/10/100/835.jpg,69,Deadpool,100,Evil Deadpool,Mutant,50,32,95 kg
bad,80,28,Male,185 cm,214,https://www.superherodb.com/pictures2/portraits/10/100/670.jpg,50,Deadshot,55,DC Comics,Human,23,10,91 kg
good,60,70,Male,193 cm,215,https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg,69,Deathlok,40,Marvel Comics,Cyborg,30,32,178 kg
bad,60,28,Male,193 cm,219,https://www.superherodb.com/pictures2/portraits/10/100/1404.jpg,44,Diamondback,45,Marvel Comics,Human,23,16,90 kg
good,56,56,Male,0 cm,220,https://www.superherodb.com/pictures2/portraits/10/100/943.jpg,50,DL Hawkins,48,NBC - Heroes,null,12,12,0 kg
bad,70,98,Male,188 cm,218,https://www.superherodb.com/pictures2/portraits/10/100/1294.jpg,50,Destroyer,85,Marvel Comics,null,58,95,383 kg
neutral,90,100,Male,193 cm,216,https://www.superherodb.com/pictures2/portraits/10/100/672.jpg,75,Deathstroke,47,DC Comics,Human,35,30,101 kg
good,70,80,Male,198 cm,221,https://www.superherodb.com/pictures2/portraits/10/100/54.jpg,75,Doc Samson,36,Marvel Comics,Human / Radiation,33,80,171 kg
bad,60,35,Male,185 cm,217,https://www.superherodb.com/pictures2/portraits/10/100/1515.jpg,50,Demogoblin,67,Marvel Comics,Demon,42,48,95 kg
bad,84,100,Male,201 cm,222,https://www.superherodb.com/pictures2/portraits/10/100/189.jpg,100,Doctor Doom,100,Marvel Comics,Human,20,32,187 kg
bad,null,null,Male,201 cm,223,https://www.superherodb.com/pictures2/portraits/10/100/1018.jpg,null,Doctor Doom II,null,Marvel Comics,null,null,null,132 kg
good,50,80,Male,188 cm,224,https://www.superherodb.com/pictures2/portraits/10/100/676.jpg,81,Doctor Fate,100,DC Comics,Human,25,16,89 kg
bad,65,40,Male,175 cm,225,https://www.superherodb.com/pictures2/portraits/10/100/622.jpg,94,Doctor Octopus,53,Marvel Comics,Human,33,48,110 kg
good,74,28,Female,173 cm,227,https://www.superherodb.com/pictures2/portraits/10/100/902.jpg,63,Domino,49,Marvel Comics,Human,27,10,54 kg
good,75,60,Male,0 cm,228,https://www.superherodb.com/pictures2/portraits/10/100/10330.jpg,88,Donatello,58,IDW Publishing,Mutant,46,14,0 kg
good,60,84,Male,188 cm,226,https://www.superherodb.com/pictures2/portraits/10/100/55.jpg,100,Doctor Strange,100,Marvel Comics,Human,12,10,81 kg
good,null,null,Female,175 cm,229,https://www.superherodb.com/pictures2/portraits/10/100/806.jpg,null,Donna Troy,null,DC Comics,Amazon,null,89,63 kg
bad,84,95,Male,196 cm,231,https://www.superherodb.com/pictures2/portraits/10/100/1320.jpg,8,Doppelganger,69,Marvel Comics,null,60,63,104 kg
bad,90,100,Male,244 cm,230,https://www.superherodb.com/pictures2/portraits/10/100/679.jpg,75,Doomsday,100,DC Comics,Alien,67,100,412 kg
good,42,100,Male,0 cm,233,https://www.superherodb.com/pictures2/portraits/10/100/884.jpg,88,Dr Manhattan,100,DC Comics,Human / Cosmic,42,100,0 kg
bad,80,100,Male,185 cm,232,https://www.superherodb.com/pictures2/portraits/10/100/1359.jpg,88,Dormammu,100,Marvel Comics,null,83,95,0 kg
good,65,85,Male,193 cm,234,https://www.superherodb.com/pictures2/portraits/10/100/10016.jpg,56,Drax the Destroyer,46,Marvel Comics,Human / Altered,25,80,306 kg
good,70,95,Female,168 cm,236,https://www.superherodb.com/pictures2/portraits/10/100/870.jpg,63,Elastigirl,52,Dark Horse Comics,Human,33,32,56 kg
good,100,28,Female,175 cm,238,https://www.superherodb.com/pictures2/portraits/10/100/625.jpg,63,Elektra,59,Marvel Comics,Human,30,11,59 kg
bad,42,42,Female,0 cm,239,https://www.superherodb.com/pictures2/portraits/10/100/1021.jpg,50,Elle Bishop,63,NBC - Heroes,null,12,8,0 kg
bad,64,56,Male,180 cm,237,https://www.superherodb.com/pictures2/portraits/10/100/7.jpg,69,Electro,67,Marvel Comics,Human,50,10,74 kg
bad,28,99,-,0 cm,235,https://www.superherodb.com/pictures2/portraits/10/100/6.jpg,88,Ego,71,Marvel Comics,null,83,80,0 kg
good,40,90,Male,185 cm,240,https://www.superherodb.com/pictures2/portraits/10/100/1381.jpg,75,Elongated Man,44,DC Comics,null,33,10,80 kg
good,40,60,Female,168 cm,242,https://www.superherodb.com/pictures2/portraits/10/100/687.jpg,63,Enchantress,100,DC Comics,Human,25,14,57 kg
good,42,90,Female,178 cm,241,https://www.superherodb.com/pictures2/portraits/10/100/325.jpg,75,Emma Frost,100,Marvel Comics,null,35,63,65 kg
good,null,null,Female,0 cm,243,https://www.superherodb.com/pictures2/portraits/10/100/1155.jpg,null,Energy,null,HarperCollins,null,null,null,0 kg
good,95,30,Male,168 cm,245,https://www.superherodb.com/pictures2/portraits/10/100/10476.jpg,75,Ethan Hunt,26,null,Human,29,11,0 kg
good,null,null,Male,0 cm,244,https://www.superherodb.com/pictures2/portraits/10/100/1187.jpg,null,ERG-1,null,DC Comics,null,null,null,0 kg
neutral,50,100,Male,193 cm,246,https://www.superherodb.com/pictures2/portraits/10/100/10429.jpg,50,Etrigan,100,DC Comics,Demon,17,85,203 kg
bad,100,100,Male,188 cm,247,https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg,69,Evil Deadpool,100,Deadpool,Mutant,50,32,95 kg
bad,64,70,Male,191 cm,248,https://www.superherodb.com/pictures2/portraits/10/100/1516.jpg,50,Evilhawk,85,Marvel Comics,Alien,33,32,106 kg
bad,null,null,-,196 cm,250,https://www.superherodb.com/pictures2/portraits/10/100/24.jpg,null,Fabian Cortez,null,Marvel Comics,null,null,null,96 kg
bad,70,28,Male,183 cm,249,https://www.superherodb.com/pictures2/portraits/10/100/1517.jpg,63,Exodus,100,Marvel Comics,Mutant,28,81,88 kg
good,64,28,Male,188 cm,251,https://www.superherodb.com/pictures2/portraits/10/100/56.jpg,38,Falcon,22,Marvel Comics,Human,50,13,108 kg
bad,90,100,Female,0 cm,253,https://www.superherodb.com/pictures2/portraits/10/100/1502.jpg,88,Faora,98,DC Comics,Kryptonian,75,95,0 kg
bad,56,100,Male,0 cm,252,https://www.superherodb.com/pictures2/portraits/10/100/1051.jpg,88,Fallen One II,100,Marvel Comics,null,83,85,0 kg
good,null,null,Female,0 cm,255,https://www.superherodb.com/pictures2/portraits/10/100/1167.jpg,null,Fighting Spirit,null,DC Comics,null,null,null,0 kg
good,70,28,-,175 cm,254,https://www.superherodb.com/pictures2/portraits/10/100/57.jpg,38,Feral,27,Marvel Comics,null,45,28,50 kg
good,70,100,Male,975 cm,256,https://www.superherodb.com/pictures2/portraits/10/100/1518.jpg,50,Fin Fang Foom,75,Marvel Comics,Kakarantharaian,23,81,18 tons
good,42,14,Female,165 cm,257,https://www.superherodb.com/pictures2/portraits/10/100/58.jpg,38,Firebird,100,Marvel Comics,null,40,8,56 kg
good,28,90,-,193 cm,258,https://www.superherodb.com/pictures2/portraits/10/100/59.jpg,38,Firelord,52,Marvel Comics,null,75,63,99 kg
good,32,55,Female,173 cm,259,https://www.superherodb.com/pictures2/portraits/10/100/60.jpg,50,Firestar,71,Marvel Comics,Mutant,54,8,56 kg
good,40,80,Male,188 cm,261,https://www.superherodb.com/pictures2/portraits/10/100/10395.jpg,38,Firestorm,100,DC Comics,Human,58,80,91 kg
good,42,56,Male,0 cm,260,https://www.superherodb.com/pictures2/portraits/10/100/689.jpg,50,Firestorm,100,DC Comics,null,58,53,0 kg
bad,null,null,-,0 cm,262,https://www.superherodb.com/pictures2/portraits/10/100/9.jpg,null,Fixer,null,Marvel Comics,null,null,null,0 kg
good,null,null,Male,0 cm,264,https://www.superherodb.com/pictures2/portraits/10/100/1345.jpg,null,Flash Gordon,null,null,null,null,69,0 kg
good,32,50,Male,180 cm,263,https://www.superherodb.com/pictures2/portraits/10/100/891.jpg,63,Flash,68,DC Comics,Human,100,10,81 kg
good,60,60,Male,183 cm,265,https://www.superherodb.com/pictures2/portraits/10/100/892.jpg,88,Flash II,100,Black Racer,Black Racer,100,48,88 kg
good,32,60,Male,183 cm,266,https://www.superherodb.com/pictures2/portraits/10/100/690.jpg,63,Flash III,100,Speed Demon,Human,100,10,86 kg
good,48,28,-,183 cm,268,https://www.superherodb.com/pictures2/portraits/10/100/62.jpg,63,Forge,25,Marvel Comics,null,12,10,81 kg
good,10,1,-,188 cm,270,https://www.superherodb.com/pictures2/portraits/10/100/170.jpg,38,Franklin Storm,0,Marvel Comics,null,1,10,92 kg
good,50,60,Male,142 cm,269,https://www.superherodb.com/pictures2/portraits/10/100/63.jpg,63,Franklin Richards,100,Marvel Comics,Mutant,50,80,45 kg
bad,52,100,Female,211 cm,271,https://www.superherodb.com/pictures2/portraits/10/100/1108.jpg,63,Frenzy,38,Marvel Comics,null,35,53,104 kg
good,null,null,Female,180 cm,272,https://www.superherodb.com/pictures2/portraits/10/100/172.jpg,null,Frigga,null,Marvel Comics,null,null,null,167 kg
neutral,50,100,Male,876 cm,273,https://www.superherodb.com/pictures2/portraits/10/100/862.jpg,100,Galactus,100,Marvel Comics,Cosmic Entity,83,100,16 tons
good,48,32,Male,157 cm,267,https://www.superherodb.com/pictures2/portraits/10/100/893.jpg,63,Flash IV,100,Impulse,Human,100,10,52 kg
good,84,28,Male,185 cm,274,https://www.superherodb.com/pictures2/portraits/10/100/64.jpg,63,Gambit,55,Marvel Comics,Mutant,23,10,81 kg
good,100,85,Female,183 cm,275,https://www.superherodb.com/pictures2/portraits/10/100/65.jpg,75,Gamora,53,Marvel Comics,Zen-Whoberian,42,85,77 kg
good,null,null,Male,0 cm,276,https://www.superherodb.com/pictures2/portraits/10/100/1467.jpg,null,Garbage Man,null,DC Comics,Mutant,null,82,0 kg
good,10,10,Male,0 cm,277,https://www.superherodb.com/pictures2/portraits/10/100/1526.jpg,63,Gary Bell,54,SyFy,Alpha,8,5,0 kg
bad,95,100,Male,0 cm,278,https://www.superherodb.com/pictures2/portraits/10/100/837.jpg,94,General Zod,100,DC Comics,Kryptonian,96,100,0 kg
good,null,null,Male,185 cm,279,https://www.superherodb.com/pictures2/portraits/10/100/1055.jpg,null,Genesis,null,Marvel Comics,null,null,68,86 kg
good,60,100,Male,188 cm,280,https://www.superherodb.com/pictures2/portraits/10/100/67.jpg,50,Ghost Rider,100,Marvel Comics,Demon,25,55,99 kg
good,null,null,Male,0 cm,282,https://www.superherodb.com/pictures2/portraits/10/100/858.jpg,null,Giant-Man,null,Ant-Man,Human,null,78,0 kg
good,null,null,-,0 cm,281,https://www.superherodb.com/pictures2/portraits/10/100/68.jpg,null,Ghost Rider II,null,Marvel Comics,null,null,70,0 kg
good,null,null,Male,0 cm,283,https://www.superherodb.com/pictures2/portraits/10/100/343.jpg,null,Giant-Man II,null,Marvel Comics,null,null,null,0 kg
bad,42,85,Female,62.5 meters,284,https://www.superherodb.com/pictures2/portraits/10/100/1376.jpg,81,Giganta,32,DC Comics,null,23,89,630 kg
neutral,70,100,Male,198 cm,285,https://www.superherodb.com/pictures2/portraits/10/100/1521.jpg,50,Gladiator,77,Marvel Comics,Strontian,100,100,268 kg
bad,56,28,Female,168 cm,286,https://www.superherodb.com/pictures2/portraits/10/100/1054.jpg,75,Goblin Queen,65,Marvel Comics,null,23,10,50 kg
bad,20,100,-,108.0 meters,287,https://www.superherodb.com/pictures2/portraits/10/100/10590.jpg,44,Godzilla,100,,Kaiju,54,100,"90,000 tons"
bad,56,72,Male,0 cm,288,https://www.superherodb.com/pictures2/portraits/10/100/693.jpg,50,Gog,39,DC Comics,null,47,34,0 kg
good,100,90,Male,175 cm,289,https://www.superherodb.com/pictures2/portraits/10/100/1284.jpg,56,Goku,100,Shueisha,Saiyan,75,100,62 kg
good,null,null,Male,0 cm,290,https://www.superherodb.com/pictures2/portraits/10/100/845.jpg,null,Goliath,null,Atlas,null,null,null,0 kg
good,null,null,Male,183 cm,293,https://www.superherodb.com/pictures2/portraits/10/100/879.jpg,null,Goliath IV,null,Marvel Comics,null,null,null,90 kg
good,null,null,Male,0 cm,292,https://www.superherodb.com/pictures2/portraits/10/100/846.jpg,null,Goliath,null,Ant-Man,Human,null,null,0 kg
good,null,null,Male,0 cm,291,https://www.superherodb.com/pictures2/portraits/10/100/847.jpg,null,Goliath,null,Hawkeye,Human,null,null,0 kg
bad,65,70,Male,198 cm,294,https://www.superherodb.com/pictures2/portraits/10/100/694.jpg,81,Gorilla Grodd,100,DC Comics,Gorilla,33,53,270 kg
good,30,40,Male,178 cm,296,https://www.superherodb.com/pictures2/portraits/10/100/74.jpg,50,Gravity,69,Marvel Comics,Human,33,32,79 kg
bad,null,null,Female,178 cm,295,https://www.superherodb.com/pictures2/portraits/10/100/1344.jpg,null,Granny Goodness,null,DC Comics,null,null,96,115 kg
bad,40,15,Male,170 cm,297,https://www.superherodb.com/pictures2/portraits/10/100/10468.jpg,38,Greedo,31,George Lucas,Rodian,13,10,0 kg
good,90,28,Male,188 cm,298,https://www.superherodb.com/pictures2/portraits/10/100/696.jpg,81,Green Arrow,39,DC Comics,Human,35,12,88 kg
bad,26,50,Male,178 cm,300,https://www.superherodb.com/pictures2/portraits/10/100/25.jpg,75,Green Goblin II,44,Marvel Comics,null,37,55,77 kg
good,null,null,Male,183 cm,301,https://www.superherodb.com/pictures2/portraits/10/100/351.jpg,null,Green Goblin III,null,Marvel Comics,null,null,null,88 kg
bad,50,60,Male,180 cm,299,https://www.superherodb.com/pictures2/portraits/10/100/579.jpg,100,Green Goblin,48,Marvel Comics,Human,38,48,83 kg
good,null,null,Male,178 cm,302,https://www.superherodb.com/pictures2/portraits/10/100/75.jpg,null,Green Goblin IV,null,Marvel Comics,null,null,null,79 kg
good,64,70,Male,701 cm,303,https://www.superherodb.com/pictures2/portraits/10/100/10017.jpg,75,Groot,100,Marvel Comics,Flora Colossus,33,85,4 tons
good,70,80,Male,188 cm,306,https://www.superherodb.com/pictures2/portraits/10/100/697.jpg,69,Hal Jordan,100,DC Comics,Human,75,90,90 kg
good,null,null,Male,0 cm,304,https://www.superherodb.com/pictures2/portraits/10/100/76.jpg,null,Guardian,null,Marvel Comics,Human,null,45,0 kg
good,64,64,Male,188 cm,305,https://www.superherodb.com/pictures2/portraits/10/100/700.jpg,38,Guy Gardner,100,DC Comics,Human-Vuldarian,53,90,95 kg
good,60,20,Male,183 cm,307,https://www.superherodb.com/pictures2/portraits/10/100/10456.jpg,50,Han Solo,43,George Lucas,Human,17,10,79 kg
good,50,100,Male,188 cm,308,https://www.superherodb.com/pictures2/portraits/10/100/1109.jpg,63,Hancock,100,Sony Pictures,Human,67,90,0 kg
bad,80,65,Female,170 cm,309,https://www.superherodb.com/pictures2/portraits/10/100/701.jpg,88,Harley Quinn,55,DC Comics,Human,33,12,63 kg
good,45,60,Male,183 cm,311,https://www.superherodb.com/pictures2/portraits/10/100/77.jpg,63,Havok,71,Marvel Comics,Mutant,25,10,79 kg
good,42,95,Male,185 cm,312,https://www.superherodb.com/pictures2/portraits/10/100/1382.jpg,38,Hawk,43,DC Comics,null,35,38,89 kg
good,50,10,Male,0 cm,310,https://www.superherodb.com/pictures2/portraits/10/100/10878.jpg,75,Harry Potter,100,J. K. Rowling,Human,21,7,0 kg
good,50,10,Female,165 cm,314,https://www.superherodb.com/pictures2/portraits/10/100/10043.jpg,50,Hawkeye II,24,Marvel Comics,Human,8,6,57 kg
good,80,10,Male,191 cm,313,https://www.superherodb.com/pictures2/portraits/10/100/73.jpg,56,Hawkeye,29,Goliath,Human,21,12,104 kg
good,72,99,Female,175 cm,315,https://www.superherodb.com/pictures2/portraits/10/100/703.jpg,50,Hawkgirl,96,DC Comics,null,53,28,61 kg
good,null,null,Male,185 cm,316,https://www.superherodb.com/pictures2/portraits/10/100/839.jpg,null,Hawkman,null,DC Comics,null,null,66,88 kg
good,null,null,Female,0 cm,318,https://www.superherodb.com/pictures2/portraits/10/100/1129.jpg,null,Hawkwoman II,null,DC Comics,null,null,null,0 kg
good,null,null,Female,175 cm,317,https://www.superherodb.com/pictures2/portraits/10/100/702.jpg,null,Hawkwoman,null,DC Comics,null,null,96,54 kg
bad,30,45,Male,180 cm,320,https://www.superherodb.com/pictures2/portraits/10/100/705.jpg,38,Heat Wave,27,DC Comics,Human,17,10,81 kg
good,null,null,Female,170 cm,319,https://www.superherodb.com/pictures2/portraits/10/100/1130.jpg,null,Hawkwoman III,null,DC Comics,null,null,92,65 kg
bad,45,100,Female,213 cm,321,https://www.superherodb.com/pictures2/portraits/10/100/10835.jpg,63,Hela,100,Marvel Comics,Asgardian,46,100,225 kg
good,75,95,Male,259 cm,322,https://www.superherodb.com/pictures2/portraits/10/100/813.jpg,63,Hellboy,73,Dark Horse Comics,Demon,21,53,158 kg
good,70,45,Female,173 cm,323,https://www.superherodb.com/pictures2/portraits/10/100/79.jpg,63,Hellcat,46,Marvel Comics,Human,33,11,61 kg
good,null,null,Male,185 cm,324,https://www.superherodb.com/pictures2/portraits/10/100/80.jpg,null,Hellstorm,null,Marvel Comics,null,null,56,81 kg
good,100,85,Male,196 cm,325,https://www.superherodb.com/pictures2/portraits/10/100/78.jpg,63,Hercules,89,Marvel Comics,Demi-God,46,100,146 kg
good,null,null,Male,0 cm,326,https://www.superherodb.com/pictures2/portraits/10/100/947.jpg,null,Hiro Nakamura,null,NBC - Heroes,null,null,15,0 kg
bad,null,null,Male,180 cm,328,https://www.superherodb.com/pictures2/portraits/10/100/896.jpg,null,Hobgoblin,null,Marvel Comics,null,null,53,83 kg
good,65,20,Female,0 cm,327,https://www.superherodb.com/pictures2/portraits/10/100/1336.jpg,56,Hit-Girl,27,Icon Comics,Human,29,7,0 kg
good,null,null,Female,170 cm,329,https://www.superherodb.com/pictures2/portraits/10/100/931.jpg,null,Hollow,null,Marvel Comics,null,null,null,0 kg
good,75,32,Female,168 cm,330,https://www.superherodb.com/pictures2/portraits/10/100/1351.jpg,63,Hope Summers,93,Marvel Comics,null,12,10,48 kg
good,null,null,Male,79 cm,331,https://www.superherodb.com/pictures2/portraits/10/100/82.jpg,null,Howard the Duck,null,Marvel Comics,null,null,44,18 kg
good,85,100,Male,244 cm,332,https://www.superherodb.com/pictures2/portraits/10/100/83.jpg,88,Hulk,98,Marvel Comics,Human / Radiation,63,100,630 kg
good,64,78,Female,170 cm,335,https://www.superherodb.com/pictures2/portraits/10/100/84.jpg,63,Husk,48,Marvel Comics,Mutant,35,63,58 kg
good,80,75,Male,175 cm,336,https://www.superherodb.com/pictures2/portraits/10/100/10493.jpg,63,Hybrid,100,Marvel Comics,Symbiote,58,63,77 kg
good,95,28,Female,180 cm,334,https://www.superherodb.com/pictures2/portraits/10/100/707.jpg,69,Huntress,34,Batgirl III,null,23,10,59 kg
good,42,70,Male,178 cm,333,https://www.superherodb.com/pictures2/portraits/10/100/362.jpg,63,Human Torch,87,Marvel Comics,Human / Radiation,63,11,77 kg
bad,50,80,Male,188 cm,337,https://www.superherodb.com/pictures2/portraits/10/100/1451.jpg,38,Hydro-Man,66,Marvel Comics,null,25,13,119 kg
good,80,95,Male,183 cm,338,https://www.superherodb.com/pictures2/portraits/10/100/1286.jpg,88,Hyperion,87,Marvel Comics,Eternal,100,100,207 kg
good,64,100,Male,173 cm,339,https://www.superherodb.com/pictures2/portraits/10/100/816.jpg,63,Iceman,100,Marvel Comics,Mutant,53,32,65 kg
good,30,30,Male,183 cm,341,https://www.superherodb.com/pictures2/portraits/10/100/10560.jpg,69,Indiana Jones,19,George Lucas,Human,17,10,79 kg
good,60,60,Male,170 cm,340,https://www.superherodb.com/pictures2/portraits/10/100/895.jpg,50,Impulse,74,Flash IV,Human,100,10,65 kg
neutral,50,50,Female,0 cm,342,https://www.superherodb.com/pictures2/portraits/10/100/708.jpg,75,Indigo,100,DC Comics,Alien,50,63,0 kg
good,50,40,Male,180 cm,343,https://www.superherodb.com/pictures2/portraits/10/100/10337.jpg,38,Ink,73,Marvel Comics,Mutant,17,28,81 kg
good,100,50,Male,180 cm,345,https://www.superherodb.com/pictures2/portraits/10/100/1120.jpg,75,Iron Fist,95,Marvel Comics,Human,33,55,79 kg
good,64,85,Male,198 cm,346,https://www.superherodb.com/pictures2/portraits/10/100/85.jpg,100,Iron Man,100,Marvel Comics,Human,58,85,191 kg
bad,56,90,Male,0 cm,347,https://www.superherodb.com/pictures2/portraits/10/100/886.jpg,88,Iron Monger,57,Marvel Comics,null,25,63,2 tons
good,56,85,Female,168 cm,344,https://www.superherodb.com/pictures2/portraits/10/100/620.jpg,88,Invisible Woman,93,Marvel Comics,Human / Radiation,27,10,54 kg
good,56,46,Female,0 cm,348,https://www.superherodb.com/pictures2/portraits/10/100/1164.jpg,75,Isis,50,DC Comics,null,75,48,0 kg
good,6,80,Male,71 cm,351,https://www.superherodb.com/pictures2/portraits/10/100/871.jpg,6,Jack-Jack,100,Dark Horse Comics,Human,67,34,14 kg
good,null,null,Male,0 cm,349,https://www.superherodb.com/pictures2/portraits/10/100/1203.jpg,null,Jack Bauer,null,null,null,null,43,0 kg
good,90,35,Male,183 cm,352,https://www.superherodb.com/pictures2/portraits/10/100/10404.jpg,88,James Bond,25,Titan Books,Human,17,13,0 kg
good,75,30,Male,178 cm,353,https://www.superherodb.com/pictures2/portraits/10/100/10565.jpg,69,James T. Kirk,30,Star Trek,Human,17,11,77 kg
good,30,30,Male,155 cm,350,https://www.superherodb.com/pictures2/portraits/10/100/86.jpg,63,Jack of Hearts,77,Marvel Comics,Human,100,55,79 kg
good,15,10,Male,193 cm,354,https://www.superherodb.com/pictures2/portraits/10/100/10563.jpg,10,Jar Jar Binks,21,George Lucas,Gungan,33,6,0 kg
good,100,30,Male,0 cm,355,https://www.superherodb.com/pictures2/portraits/10/100/10477.jpg,88,Jason Bourne,26,null,Human,29,12,0 kg
good,70,20,Female,168 cm,356,https://www.superherodb.com/pictures2/portraits/10/100/814.jpg,94,Jean Grey,92,Phoenix,Mutant,21,80,52 kg
good,65,30,Male,0 cm,357,https://www.superherodb.com/pictures2/portraits/10/100/10567.jpg,75,Jean-Luc Picard,26,Star Trek,Human,17,10,0 kg
good,72,42,Female,168 cm,358,https://www.superherodb.com/pictures2/portraits/10/100/1321.jpg,75,Jennifer Kale,74,Marvel Comics,null,35,10,55 kg
good,null,null,Female,0 cm,359,https://www.superherodb.com/pictures2/portraits/10/100/10544.jpg,null,Jesse Quick,null,Liberty Belle II,Human,null,42,0 kg
good,55,50,Female,0 cm,360,https://www.superherodb.com/pictures2/portraits/10/100/10650.jpg,56,Jessica Cruz,100,DC Comics,Human,46,90,0 kg
good,55,70,Female,170 cm,361,https://www.superherodb.com/pictures2/portraits/10/100/10403.jpg,56,Jessica Jones,18,Power Woman,Human,50,44,56 kg
good,null,null,Female,0 cm,362,https://www.superherodb.com/pictures2/portraits/10/100/1029.jpg,null,Jessica Sanders,null,NBC - Heroes,null,null,null,0 kg
bad,null,null,Male,188 cm,363,https://www.superherodb.com/pictures2/portraits/10/100/887.jpg,null,Jigsaw,null,Marvel Comics,null,null,null,113 kg
good,20,80,Male,0 cm,364,https://www.superherodb.com/pictures2/portraits/10/100/1354.jpg,38,Jim Powell,23,ABC Studios,null,23,38,0 kg
good,10,10,Male,0 cm,365,https://www.superherodb.com/pictures2/portraits/10/100/1357.jpg,88,JJ Powell,14,ABC Studios,null,8,10,0 kg
good,65,40,Male,183 cm,367,https://www.superherodb.com/pictures2/portraits/10/100/718.jpg,63,John Constantine,54,DC Comics,Human,8,10,0 kg
